CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
139;Downtown;"{""coordinates"": [-123.10098523840195, 49.27976392336203], ""type"": ""Point""}";__FJ187Q;59418667;004904095;KEEFER ST;49.27976392336203, -123.10098523840195
137;Downtown;"{""coordinates"": [-123.10119453547884, 49.2797678870361], ""type"": ""Point""}";__FJ187U;59418651;010170995;KEEFER ST;49.2797678870361, -123.10119453547884
133;Downtown;"{""coordinates"": [-123.10129918402043, 49.27976986423339], ""type"": ""Point""}";__FJ187W;59418649;BCS3741;KEEFER ST;49.27976986423339, -123.10129918402043
149;Downtown;"{""coordinates"": [-123.10065010969674, 49.280658624475734], ""type"": ""Point""}";__FJ1884;59218673;015670490;E PENDER ST;49.280658624475734, -123.10065010969674
147;Downtown;"{""coordinates"": [-123.1007566716263, 49.28066078040138], ""type"": ""Point""}";__FJ1886;59218667;015670511;E PENDER ST;49.28066078040138, -123.1007566716263
147;Downtown;"{""coordinates"": [-123.1008604818633, 49.28066203911271], ""type"": ""Point""}";__FJ1888;59218667;015670538;E PENDER ST;49.28066203911271, -123.1008604818633
127;Downtown;"{""coordinates"": [-123.10117396307803, 49.28066670341459], ""type"": ""Point""}";__FJ188E;59218649;015670571;E PENDER ST;49.28066670341459, -123.10117396307803
121;Downtown;"{""coordinates"": [-123.10137823292835, 49.280711500275494], ""type"": ""Point""}";__FJ188I;59218641;015670597;E PENDER ST;49.280711500275494, -123.10137823292835
121;Downtown;"{""coordinates"": [-123.10150679396291, 49.28071363620651], ""type"": ""Point""}";__FJ188K;59218641;015670601;E PENDER ST;49.28071363620651, -123.10150679396291
119;Downtown;"{""coordinates"": [-123.1015761376565, 49.280669498892905], ""type"": ""Point""}";__FJ188M;59218633;015670619;E PENDER ST;49.280669498892905, -123.1015761376565
800;Downtown;"{""coordinates"": [-123.10150600198581, 49.27743364288416], ""type"": ""Point""}";__FJ188O;18659826;016657667;QUEBEC ST;49.27743364288416, -123.10150600198581
800;Downtown;"{""coordinates"": [-123.10089905610053, 49.27744406917332], ""type"": ""Point""}";__FJ188S;18659826;023270713;QUEBEC ST;49.27744406917332, -123.10089905610053
515;Downtown;"{""coordinates"": [-123.10017806522679, 49.28003341095022], ""type"": ""Point""}";__FJ1892;19059235;015666433;MAIN ST;49.28003341095022, -123.10017806522679
