CIVIC_NUMBER;Geo Local Area;Geom;P_PARCEL_ID;PCOORD;SITE_ID;STD_STREET;geo_point_2d
188;Downtown;"{""coordinates"": [-123.10039806257288, 49.275635825621286], ""type"": ""Point""}";__FJ0QI2;19060305;024929298;MILROSS AV;49.275635825621286, -123.10039806257288
1200;Downtown;"{""coordinates"": [-123.12914781211241, 49.27867121796622], ""type"": ""Point""}";__FJ0S9I;12061204;015479951;BURRARD ST;49.27867121796622, -123.12914781211241
1200;Downtown;"{""coordinates"": [-123.12922124112248, 49.27862256188166], ""type"": ""Point""}";__FJ0S9K;12061204;015479978;BURRARD ST;49.27862256188166, -123.12922124112248
910;Downtown;"{""coordinates"": [-123.12889662926342, 49.27830494469612], ""type"": ""Point""}";__FJ0SAU;61212076;015480496;DAVIE ST;49.27830494469612, -123.12889662926342
938;Downtown;"{""coordinates"": [-123.12283585751328, 49.28030980831491], ""type"": ""Point""}";__FJ0SBO;12660434;LMS1997;HOWE ST;49.28030980831491, -123.12283585751328
1010;Downtown;"{""coordinates"": [-123.12418600889697, 49.279488895141895], ""type"": ""Point""}";__FJ0SBU;12660602;LMS2586;HOWE ST;49.279488895141895, -123.12418600889697
868;Downtown;"{""coordinates"": [-123.12034296007774, 49.28062999732776], ""type"": ""Point""}";__FJ0SCI;13060256;015463460;GRANVILLE ST;49.28062999732776, -123.12034296007774
868;Downtown;"{""coordinates"": [-123.12041351550049, 49.28058224937076], ""type"": ""Point""}";__FJ0SCK;13060256;015463524;GRANVILLE ST;49.28058224937076, -123.12041351550049
868;Downtown;"{""coordinates"": [-123.1206444052019, 49.2804344875794], ""type"": ""Point""}";__FJ0SCQ;13060256;015463729;GRANVILLE ST;49.2804344875794, -123.1206444052019
884;Downtown;"{""coordinates"": [-123.12086609969028, 49.28028853397717], ""type"": ""Point""}";__FJ0SCS;13060280;015463800;GRANVILLE ST;49.28028853397717, -123.12086609969028
601;Downtown;"{""coordinates"": [-123.1203769170001, 49.280069112457504], ""type"": ""Point""}";__FJ0SD4;13460293;015463877;SMITHE ST;49.280069112457504, -123.1203769170001
601;Downtown;"{""coordinates"": [-123.12030416133288, 49.2801164219235], ""type"": ""Point""}";__FJ0SD6;13460293;015463893;SMITHE ST;49.2801164219235, -123.12030416133288
601;Downtown;"{""coordinates"": [-123.1200810932172, 49.28026327539729], ""type"": ""Point""}";__FJ0SDC;13460293;015464032;SMITHE ST;49.28026327539729, -123.1200810932172
601;Downtown;"{""coordinates"": [-123.12000765495466, 49.28031282518413], ""type"": ""Point""}";__FJ0SDE;13460293;015464067;SMITHE ST;49.28031282518413, -123.12000765495466
833;Downtown;"{""coordinates"": [-123.1197558987612, 49.28049725369777], ""type"": ""Point""}";__FJ0SDG;13460245;BCS3995;SEYMOUR ST;49.28049725369777, -123.1197558987612
757;Downtown;"{""coordinates"": [-123.11729604425807, 49.28083692521398], ""type"": ""Point""}";__FJ0SEK;13860045;008753989;RICHARDS ST;49.28083692521398, -123.11729604425807
712;Downtown;"{""coordinates"": [-123.11628887490694, 49.28077364565771], ""type"": ""Point""}";__FJ0SEQ;13860026;004994141;RICHARDS ST;49.28077364565771, -123.11628887490694
712;Downtown;"{""coordinates"": [-123.11636507380132, 49.28072679401332], ""type"": ""Point""}";__FJ0SES;13860032;010909117;RICHARDS ST;49.28072679401332, -123.11636507380132
732;Downtown;"{""coordinates"": [-123.11651402323098, 49.280628596459756], ""type"": ""Point""}";__FJ0SFK;13860040;004992954;RICHARDS ST;49.280628596459756, -123.11651402323098
817;Downtown;"{""coordinates"": [-123.11860169927026, 49.27998148211282], ""type"": ""Point""}";__FJ0SH6;13860227;005334292;RICHARDS ST;49.27998148211282, -123.11860169927026
817;Downtown;"{""coordinates"": [-123.11838137115487, 49.280126080700036], ""type"": ""Point""}";__FJ0SHC;13860213;015462455;RICHARDS ST;49.280126080700036, -123.11838137115487
848;Downtown;"{""coordinates"": [-123.11941116746029, 49.27998123312384], ""type"": ""Point""}";__FJ0SHI;13460244;005334144;SEYMOUR ST;49.27998123312384, -123.11941116746029
869;Downtown;"{""coordinates"": [-123.11739513147765, 49.278234059806834], ""type"": ""Point""}";__FJ0SJC;15660273;015458903;HAMILTON ST;49.278234059806834, -123.11739513147765
860;Downtown;"{""coordinates"": [-123.11774388623506, 49.27855405042129], ""type"": ""Point""}";__FJ0SJI;14860278;027554015;HOMER ST;49.27855405042129, -123.11774388623506
948;Downtown;"{""coordinates"": [-123.1190992215528, 49.27764401290239], ""type"": ""Point""}";__FJ0SJK;14860434;011499851;HOMER ST;49.27764401290239, -123.1190992215528
670;Downtown;"{""coordinates"": [-123.12125589011647, 49.28001331383151], ""type"": ""Point""}";__FJ0SKM;13060406;004324340;SMITHE ST;49.28001331383151, -123.12125589011647
918;Downtown;"{""coordinates"": [-123.12155804455253, 49.27982409755932], ""type"": ""Point""}";__FJ0SKU;13060430;009422811;GRANVILLE ST;49.27982409755932, -123.12155804455253
918;Downtown;"{""coordinates"": [-123.1216342215024, 49.279770945826904], ""type"": ""Point""}";__FJ0SKW;13060430;009422846;GRANVILLE ST;49.279770945826904, -123.1216342215024
936;Downtown;"{""coordinates"": [-123.12178316533478, 49.27967588978079], ""type"": ""Point""}";__FJ0SL0;13060442;013152637;GRANVILLE ST;49.27967588978079, -123.12178316533478
936;Downtown;"{""coordinates"": [-123.12185522264372, 49.27962499103836], ""type"": ""Point""}";__FJ0SL2;13060442;013152645;GRANVILLE ST;49.27962499103836, -123.12185522264372
900;Downtown;"{""coordinates"": [-123.12037167783635, 49.27934005845927], ""type"": ""Point""}";__FJ0SLQ;13460404;015454207;SEYMOUR ST;49.27934005845927, -123.12037167783635
900;Downtown;"{""coordinates"": [-123.12044511538637, 49.27929095819206], ""type"": ""Point""}";__FJ0SLS;13460404;015454215;SEYMOUR ST;49.27929095819206, -123.12044511538637
930;Downtown;"{""coordinates"": [-123.12108475025994, 49.27885485989412], ""type"": ""Point""}";__FJ0SM6;13460496;024677752;SEYMOUR ST;49.27885485989412, -123.12108475025994
910;Downtown;"{""coordinates"": [-123.11940635603678, 49.27871727110849], ""type"": ""Point""}";__FJ0SN8;13860406;015453669;RICHARDS ST;49.27871727110849, -123.11940635603678
910;Downtown;"{""coordinates"": [-123.11947360884746, 49.27866907736269], ""type"": ""Point""}";__FJ0SNA;13860406;015453677;RICHARDS ST;49.27866907736269, -123.11947360884746
891;Downtown;"{""coordinates"": [-123.12153445554938, 49.28062604273057], ""type"": ""Point""}";__FJ0SQ0;13060285;015464644;GRANVILLE ST;49.28062604273057, -123.12153445554938
911;Downtown;"{""coordinates"": [-123.12202878270907, 49.280307074375614], ""type"": ""Point""}";__FJ0SQC;13060417;009648976;GRANVILLE ST;49.280307074375614, -123.12202878270907
838;Downtown;"{""coordinates"": [-123.1162093727884, 49.27832632565603], ""type"": ""Point""}";__FJ0SQO;15660208;LMS1863;HAMILTON ST;49.27832632565603, -123.1162093727884
845;Downtown;"{""coordinates"": [-123.11610139748176, 49.277813906614824], ""type"": ""Point""}";__FJ0SQQ;15760257;017643929;CAMBIE ST;49.277813906614824, -123.11610139748176
1199;Downtown;"{""coordinates"": [-123.12292963821939, 49.288456260107075], ""type"": ""Point""}";__FJ0SSO;59211805;012637653;W PENDER ST;49.288456260107075, -123.12292963821939
1222;Downtown;"{""coordinates"": [-123.1249262855893, 49.28793685164701], ""type"": ""Point""}";__FJ0STA;59711774;015745295;MELVILLE ST;49.28793685164701, -123.1249262855893
1285;Downtown;"{""coordinates"": [-123.12475797064715, 49.289082136350906], ""type"": ""Point""}";__FJ0STM;59211709;007250525;W PENDER ST;49.289082136350906, -123.12475797064715
1250;Downtown;"{""coordinates"": [-123.1242866357899, 49.288947275986544], ""type"": ""Point""}";__FJ0STO;59211741;006721397;W HASTINGS ST;49.288947275986544, -123.1242866357899
1445;Downtown;"{""coordinates"": [-123.12864292500052, 49.28959548562369], ""type"": ""Point""}";__FJ0SV8;60011557;009916521;W GEORGIA ST;49.28959548562369, -123.12864292500052
588;Downtown;"{""coordinates"": [-123.12629550233213, 49.28950007269855], ""type"": ""Point""}";__FJ0T32;11657394;LMS2064;BROUGHTON ST;49.28950007269855, -123.12629550233213
815;Downtown;"{""coordinates"": [-123.12255239141358, 49.282574645575586], ""type"": ""Point""}";__FJ0TG2;12460209;VAS693;HORNBY ST;49.282574645575586, -123.12255239141358
890;Downtown;"{""coordinates"": [-123.11688533718147, 49.28559628411637], ""type"": ""Point""}";__FJ0TGQ;59212404;004350677;W PENDER ST;49.28559628411637, -123.11688533718147
890;Downtown;"{""coordinates"": [-123.11680752779353, 49.28554643959068], ""type"": ""Point""}";__FJ0TGS;59212404;004350685;W PENDER ST;49.28554643959068, -123.11680752779353
921;Downtown;"{""coordinates"": [-123.1168531292707, 49.28628716385381], ""type"": ""Point""}";__FJ0TGY;59212071;014891956;W PENDER ST;49.28628716385381, -123.1168531292707
900;Downtown;"{""coordinates"": [-123.1163477598991, 49.286517059646364], ""type"": ""Point""}";__FJ0TH6;59012094;015508811;W HASTINGS ST;49.286517059646364, -123.1163477598991
850;Downtown;"{""coordinates"": [-123.11599092402726, 49.286283561930226], ""type"": ""Point""}";__FJ0THC;59012406;008044341;W HASTINGS ST;49.286283561930226, -123.11599092402726
850;Downtown;"{""coordinates"": [-123.11591942611038, 49.286233710476964], ""type"": ""Point""}";__FJ0THE;59012406;008044350;W HASTINGS ST;49.286233710476964, -123.11591942611038
889;Downtown;"{""coordinates"": [-123.11642688891622, 49.28601144234225], ""type"": ""Point""}";__FJ0TI8;59212407;004295005;W PENDER ST;49.28601144234225, -123.11642688891622
744;Downtown;"{""coordinates"": [-123.11502619346047, 49.285653982751], ""type"": ""Point""}";__FJ0TIA;59012604;015505014;W HASTINGS ST;49.285653982751, -123.11502619346047
355;Downtown;"{""coordinates"": [-123.11723844762284, 49.28751823033167], ""type"": ""Point""}";__FJ0TIO;12057197;002512629;BURRARD ST;49.28751823033167, -123.11723844762284
505;Downtown;"{""coordinates"": [-123.1189597466599, 49.286557073306945], ""type"": ""Point""}";__FJ0TIY;12059207;002836181;BURRARD ST;49.286557073306945, -123.1189597466599
837;Downtown;"{""coordinates"": [-123.11483341062988, 49.28672686662818], ""type"": ""Point""}";__FJ0TJA;59012415;023515155;W HASTINGS ST;49.28672686662818, -123.11483341062988
535;Downtown;"{""coordinates"": [-123.12125927206067, 49.287218940488195], ""type"": ""Point""}";__FJ0TJK;11959375;013542273;THURLOW ST;49.287218940488195, -123.12125927206067
535;Downtown;"{""coordinates"": [-123.12152282322624, 49.28702705751328], ""type"": ""Point""}";__FJ0TJO;11959375;013542290;THURLOW ST;49.28702705751328, -123.12152282322624
1130;Downtown;"{""coordinates"": [-123.12166955432934, 49.287197361581384], ""type"": ""Point""}";__FJ0TJQ;59211882;015306623;W PENDER ST;49.287197361581384, -123.12166955432934
1112;Downtown;"{""coordinates"": [-123.12116626239745, 49.28748405373596], ""type"": ""Point""}";__FJ0TJW;59211894;015411524;W PENDER ST;49.28748405373596, -123.12116626239745
1133;Downtown;"{""coordinates"": [-123.1206222903668, 49.28852134299252], ""type"": ""Point""}";__FJ0TKI;59011857;007694822;W HASTINGS ST;49.28852134299252, -123.1206222903668
1112;Downtown;"{""coordinates"": [-123.12112598782764, 49.28754697219218], ""type"": ""Point""}";__FJ0TKK;59211894;015306607;W PENDER ST;49.28754697219218, -123.12112598782764
1021;Downtown;"{""coordinates"": [-123.11819279309746, 49.28773420363108], ""type"": ""Point""}";__FJ0TKM;59011955;028835247;W HASTINGS ST;49.28773420363108, -123.11819279309746
768;Downtown;"{""coordinates"": [-123.11783231795538, 49.28101810920842], ""type"": ""Point""}";__FJ0TL8;13460020;028779584;SEYMOUR ST;49.28101810920842, -123.11783231795538
620;Downtown;"{""coordinates"": [-123.11552169380279, 49.28254863312273], ""type"": ""Point""}";__FJ0TLG;13459524;013736914;SEYMOUR ST;49.28254863312273, -123.11552169380279
626;Downtown;"{""coordinates"": [-123.11565004376138, 49.282458202155325], ""type"": ""Point""}";__FJ0TLK;13459532;003023494;SEYMOUR ST;49.282458202155325, -123.11565004376138
644;Downtown;"{""coordinates"": [-123.1158786337996, 49.2823109020014], ""type"": ""Point""}";__FJ0TLQ;13459542;003023541;SEYMOUR ST;49.2823109020014, -123.1158786337996
670;Downtown;"{""coordinates"": [-123.11603200683474, 49.28221449070181], ""type"": ""Point""}";__FJ0TLU;13459576;003023583;SEYMOUR ST;49.28221449070181, -123.11603200683474
670;Downtown;"{""coordinates"": [-123.11625879551005, 49.28206809111558], ""type"": ""Point""}";__FJ0TM0;13459576;003023621;SEYMOUR ST;49.28206809111558, -123.11625879551005
698;Downtown;"{""coordinates"": [-123.11662948528021, 49.28182753732298], ""type"": ""Point""}";__FJ0TMA;60013405;003023761;SEYMOUR ST;49.28182753732298, -123.11662948528021
670;Downtown;"{""coordinates"": [-123.11584991833593, 49.281797755914994], ""type"": ""Point""}";__FJ0TMK;13459576;003024016;SEYMOUR ST;49.281797755914994, -123.11584991833593
619;Downtown;"{""coordinates"": [-123.11526097890638, 49.28219324216474], ""type"": ""Point""}";__FJ0TN0;13859531;003023923;RICHARDS ST;49.28219324216474, -123.11526097890638
500;Downtown;"{""coordinates"": [-123.11496305551294, 49.28239144184544], ""type"": ""Point""}";__FJ0TN8;13859507;015471616;DUNSMUIR ST;49.28239144184544, -123.11496305551294
646;Downtown;"{""coordinates"": [-123.1143042178053, 49.282070086091494], ""type"": ""Point""}";__FJ0TNG;13859504;015471471;RICHARDS ST;49.282070086091494, -123.1143042178053
646;Downtown;"{""coordinates"": [-123.11453159048861, 49.28192457983753], ""type"": ""Point""}";__FJ0TNM;13859504;015471501;RICHARDS ST;49.28192457983753, -123.11453159048861
646;Downtown;"{""coordinates"": [-123.11460504184531, 49.28187728232838], ""type"": ""Point""}";__FJ0TNO;13859504;015471519;RICHARDS ST;49.28187728232838, -123.11460504184531
650;Downtown;"{""coordinates"": [-123.11513485317333, 49.28153222233404], ""type"": ""Point""}";__FJ0TO2;13859550;015471586;RICHARDS ST;49.28153222233404, -123.11513485317333
475;Downtown;"{""coordinates"": [-123.1152069305099, 49.28148582532568], ""type"": ""Point""}";__FJ0TO4;60013803;005163471;W GEORGIA ST;49.28148582532568, -123.1152069305099
475;Downtown;"{""coordinates"": [-123.11542863304958, 49.281340322943535], ""type"": ""Point""}";__FJ0TOA;60013803;005163501;W GEORGIA ST;49.281340322943535, -123.11542863304958
514;Downtown;"{""coordinates"": [-123.11198277840305, 49.282434477984346], ""type"": ""Point""}";__FJ0TOO;59214806;015487946;HOMER ST;49.282434477984346, -123.11198277840305
330;Downtown;"{""coordinates"": [-123.11175416492387, 49.28227864198558], ""type"": ""Point""}";__FJ0TOU;59214846;015488012;W PENDER ST;49.28227864198558, -123.11175416492387
416;Downtown;"{""coordinates"": [-123.11248127635429, 49.282759601211204], ""type"": ""Point""}";__FJ0TPE;59213870;015488187;W PENDER ST;49.282759601211204, -123.11248127635429
411;Downtown;"{""coordinates"": [-123.11351586912225, 49.282073201983195], ""type"": ""Point""}";__FJ0TPS;14859299;028995899;DUNSMUIR ST;49.282073201983195, -123.11351586912225
518;Downtown;"{""coordinates"": [-123.11325480343642, 49.28278807098261], ""type"": ""Point""}";__FJ0TQ0;13859248;028956991;RICHARDS ST;49.28278807098261, -123.11325480343642
516;Downtown;"{""coordinates"": [-123.11369037387384, 49.28354142998245], ""type"": ""Point""}";__FJ0TQC;59213498;013654730;W PENDER ST;49.28354142998245, -123.11369037387384
516;Downtown;"{""coordinates"": [-123.11361255202286, 49.28348933450768], ""type"": ""Point""}";__FJ0TQE;59213498;013654748;W PENDER ST;49.28348933450768, -123.11361255202286
516;Downtown;"{""coordinates"": [-123.11353406382949, 49.28344039694131], ""type"": ""Point""}";__FJ0TQG;59213498;013654772;W PENDER ST;49.28344039694131, -123.11353406382949
523;Downtown;"{""coordinates"": [-123.1138075828391, 49.283148216441546], ""type"": ""Point""}";__FJ0TQK;13859237;015488713;RICHARDS ST;49.283148216441546, -123.1138075828391
523;Downtown;"{""coordinates"": [-123.11410621016421, 49.2829531583897], ""type"": ""Point""}";__FJ0TQS;13859237;015488799;RICHARDS ST;49.2829531583897, -123.11410621016421
577;Downtown;"{""coordinates"": [-123.11439932562182, 49.28275992204152], ""type"": ""Point""}";__FJ0TQU;13859273;015488811;RICHARDS ST;49.28275992204152, -123.11439932562182
581;Downtown;"{""coordinates"": [-123.11447345853105, 49.28270946664154], ""type"": ""Point""}";__FJ0TQW;13859279;015488837;RICHARDS ST;49.28270946664154, -123.11447345853105
501;Downtown;"{""coordinates"": [-123.11462942803529, 49.28261036508125], ""type"": ""Point""}";__FJ0TR0;13859295;008257043;DUNSMUIR ST;49.28261036508125, -123.11462942803529
568;Downtown;"{""coordinates"": [-123.11474739057567, 49.28307349957866], ""type"": ""Point""}";__FJ0TRA;13459268;008156263;SEYMOUR ST;49.28307349957866, -123.11474739057567
509;Downtown;"{""coordinates"": [-123.11348626057938, 49.283281220299706], ""type"": ""Point""}";__FJ0TRO;13859213;007234449;RICHARDS ST;49.283281220299706, -123.11348626057938
620;Downtown;"{""coordinates"": [-123.11450974634997, 49.284064122093405], ""type"": ""Point""}";__FJ0TRQ;59213064;009123636;W PENDER ST;49.284064122093405, -123.11450974634997
614;Downtown;"{""coordinates"": [-123.11442987818724, 49.2840138282361], ""type"": ""Point""}";__FJ0TRS;59213074;007944209;W PENDER ST;49.2840138282361, -123.11442987818724
525;Downtown;"{""coordinates"": [-123.11476882639487, 49.28377241241103], ""type"": ""Point""}";__FJ0TRW;13459221;012188379;SEYMOUR ST;49.28377241241103, -123.11476882639487
543;Downtown;"{""coordinates"": [-123.11484502716873, 49.28372376275816], ""type"": ""Point""}";__FJ0TRY;13459237;012188549;SEYMOUR ST;49.28372376275816, -123.11484502716873
580;Downtown;"{""coordinates"": [-123.11594894143423, 49.28355622261143], ""type"": ""Point""}";__FJ0TS6;13059296;007913397;GRANVILLE ST;49.28355622261143, -123.11594894143423
560;Downtown;"{""coordinates"": [-123.11542101281829, 49.28389588722749], ""type"": ""Point""}";__FJ0TSC;13059246;004524217;GRANVILLE ST;49.28389588722749, -123.11542101281829
688;Downtown;"{""coordinates"": [-123.11370703654956, 49.28480211422857], ""type"": ""Point""}";__FJ0TSU;13059004;015504913;W HASTINGS ST;49.28480211422857, -123.11370703654956
688;Downtown;"{""coordinates"": [-123.1136250823875, 49.28474777404605], ""type"": ""Point""}";__FJ0TSW;13059004;015504921;W HASTINGS ST;49.28474777404605, -123.1136250823875
470;Downtown;"{""coordinates"": [-123.11427989699993, 49.28462971430781], ""type"": ""Point""}";__FJ0TT4;13059094;015504948;GRANVILLE ST;49.28462971430781, -123.11427989699993
470;Downtown;"{""coordinates"": [-123.11435563983184, 49.28467956258759], ""type"": ""Point""}";__FJ0TT6;13059094;015504956;GRANVILLE ST;49.28467956258759, -123.11435563983184
510;Downtown;"{""coordinates"": [-123.11250409346121, 49.284019371290796], ""type"": ""Point""}";__FJ0TTC;59013494;009180109;W HASTINGS ST;49.284019371290796, -123.11250409346121
510;Downtown;"{""coordinates"": [-123.11235577116902, 49.28391742936969], ""type"": ""Point""}";__FJ0TTG;59013494;009180133;W HASTINGS ST;49.28391742936969, -123.11235577116902
422;Downtown;"{""coordinates"": [-123.11206263169085, 49.283748613738545], ""type"": ""Point""}";__FJ0TTI;59013806;015502813;RICHARDS ST;49.283748613738545, -123.11206263169085
420;Downtown;"{""coordinates"": [-123.11168474188699, 49.283496215180485], ""type"": ""Point""}";__FJ0TTQ;59013856;006056385;W HASTINGS ST;49.283496215180485, -123.11168474188699
420;Downtown;"{""coordinates"": [-123.11160693700329, 49.28344457709266], ""type"": ""Point""}";__FJ0TTS;59013870;007744781;W HASTINGS ST;49.28344457709266, -123.11160693700329
435;Downtown;"{""coordinates"": [-123.11226379252379, 49.2833224789492], ""type"": ""Point""}";__FJ0TTW;59213837;013192701;W PENDER ST;49.2833224789492, -123.11226379252379
609;Downtown;"{""coordinates"": [-123.1129500515584, 49.28510069580527], ""type"": ""Point""}";__FJ0TUA;59013059;009260951;W HASTINGS ST;49.28510069580527, -123.1129500515584
609;Downtown;"{""coordinates"": [-123.11302749942088, 49.28515079514958], ""type"": ""Point""}";__FJ0TUC;59013059;009260994;W HASTINGS ST;49.28515079514958, -123.11302749942088
516;Downtown;"{""coordinates"": [-123.1134336282421, 49.2834144095701], ""type"": ""Point""}";__FJ0TUO;59213498;013998641;W PENDER ST;49.2834144095701, -123.1134336282421
516;Downtown;"{""coordinates"": [-123.11329425574019, 49.28331784816697], ""type"": ""Point""}";__FJ0TUS;59213498;013998676;W PENDER ST;49.28331784816697, -123.11329425574019
601;Downtown;"{""coordinates"": [-123.1127950039198, 49.28500000237353], ""type"": ""Point""}";__FJ0TVU;59013095;006979530;W HASTINGS ST;49.28500000237353, -123.1127950039198
333;Downtown;"{""coordinates"": [-123.11246029412531, 49.28532331826728], ""type"": ""Point""}";__FJ0TVW;58913096;006974848;SEYMOUR ST;49.28532331826728, -123.11246029412531
777;Downtown;"{""coordinates"": [-123.12152308963408, 49.283185173846796], ""type"": ""Point""}";__FJ0TW6;12460095;015468411;HORNBY ST;49.283185173846796, -123.12152308963408
777;Downtown;"{""coordinates"": [-123.12137551747692, 49.28328337636745], ""type"": ""Point""}";__FJ0TW8;12460095;015468461;HORNBY ST;49.28328337636745, -123.12137551747692
645;Downtown;"{""coordinates"": [-123.1184976011954, 49.28390528549152], ""type"": ""Point""}";__FJ0TWC;12659543;015471764;HOWE ST;49.28390528549152, -123.1184976011954
645;Downtown;"{""coordinates"": [-123.11843047890042, 49.28395392824823], ""type"": ""Point""}";__FJ0TWE;12659543;015471781;HOWE ST;49.28395392824823, -123.11843047890042
645;Downtown;"{""coordinates"": [-123.11828564620606, 49.284051224482276], ""type"": ""Point""}";__FJ0TWI;12659543;015471829;HOWE ST;49.284051224482276, -123.11828564620606
625;Downtown;"{""coordinates"": [-123.11799800626233, 49.28423098128981], ""type"": ""Point""}";__FJ0TWK;12659503;007467249;HOWE ST;49.28423098128981, -123.11799800626233
885;Downtown;"{""coordinates"": [-123.11861228842481, 49.28437381641252], ""type"": ""Point""}";__FJ0TWO;60012407;006348122;W GEORGIA ST;49.28437381641252, -123.11861228842481
885;Downtown;"{""coordinates"": [-123.1190624660822, 49.28407830272913], ""type"": ""Point""}";__FJ0TX0;60012407;006348319;W GEORGIA ST;49.28407830272913, -123.1190624660822
885;Downtown;"{""coordinates"": [-123.11913591087787, 49.28402875357044], ""type"": ""Point""}";__FJ0TX2;60012407;006348343;W GEORGIA ST;49.28402875357044, -123.11913591087787
885;Downtown;"{""coordinates"": [-123.11935485775872, 49.28388099776695], ""type"": ""Point""}";__FJ0TX8;60012407;006348424;W GEORGIA ST;49.28388099776695, -123.11935485775872
885;Downtown;"{""coordinates"": [-123.11965002572417, 49.28368413894162], ""type"": ""Point""}";__FJ0TXG;60012407;006348548;W GEORGIA ST;49.28368413894162, -123.11965002572417
595;Downtown;"{""coordinates"": [-123.11854606815994, 49.28514883654943], ""type"": ""Point""}";__FJ0TY2;12459295;015499375;HORNBY ST;49.28514883654943, -123.11854606815994
800;Downtown;"{""coordinates"": [-123.11627151351846, 49.285196636201086], ""type"": ""Point""}";__FJ0TYE;59212496;007772688;W PENDER ST;49.285196636201086, -123.11627151351846
530;Downtown;"{""coordinates"": [-123.11725723030472, 49.285279259284884], ""type"": ""Point""}";__FJ0TYS;12459228;005162670;HORNBY ST;49.285279259284884, -123.11725723030472
530;Downtown;"{""coordinates"": [-123.11718377965907, 49.28532791672159], ""type"": ""Point""}";__FJ0TYU;12459228;005162688;HORNBY ST;49.28532791672159, -123.11718377965907
520;Downtown;"{""coordinates"": [-123.1170944921816, 49.285366686475356], ""type"": ""Point""}";__FJ0TYW;12459220;002486326;HORNBY ST;49.285366686475356, -123.1170944921816
551;Downtown;"{""coordinates"": [-123.11705673465374, 49.28486208653946], ""type"": ""Point""}";__FJ0TZ6;12659257;007607890;HOWE ST;49.28486208653946, -123.11705673465374
555;Downtown;"{""coordinates"": [-123.11713018582006, 49.28481388793272], ""type"": ""Point""}";__FJ0TZ8;12659263;015498247;HOWE ST;49.28481388793272, -123.11713018582006
535;Downtown;"{""coordinates"": [-123.11578995664023, 49.284428922954966], ""type"": ""Point""}";__FJ0TZO;13059221;005505631;GRANVILLE ST;49.284428922954966, -123.11578995664023
789;Downtown;"{""coordinates"": [-123.1154518503891, 49.285384125865306], ""type"": ""Point""}";__FJ0TZQ;59212605;009488961;W PENDER ST;49.285384125865306, -123.1154518503891
789;Downtown;"{""coordinates"": [-123.11529829581994, 49.28528353325101], ""type"": ""Point""}";__FJ0TZU;59212605;009488928;W PENDER ST;49.28528353325101, -123.11529829581994
717;Downtown;"{""coordinates"": [-123.11497942476987, 49.2849906173416], ""type"": ""Point""}";__FJ0U00;13059097;010204865;W PENDER ST;49.2849906173416, -123.11497942476987
655;Downtown;"{""coordinates"": [-123.12077386393737, 49.28526892691139], ""type"": ""Point""}";__FJ0U08;12059703;002485150;BURRARD ST;49.28526892691139, -123.12077386393737
825;Downtown;"{""coordinates"": [-123.12065471793815, 49.28121255985641], ""type"": ""Point""}";__FJ0U0K;13060227;015464750;GRANVILLE ST;49.28121255985641, -123.12065471793815
777;Downtown;"{""coordinates"": [-123.12191007004652, 49.28288341882261], ""type"": ""Point""}";__FJ0U0W;12460095;007181248;HORNBY ST;49.28288341882261, -123.12191007004652
549;Downtown;"{""coordinates"": [-123.1169548130521, 49.28502374305032], ""type"": ""Point""}";__FJ0U14;12659247;007607598;HOWE ST;49.28502374305032, -123.1169548130521
605;Downtown;"{""coordinates"": [-123.1188201314814, 49.2810970918035], ""type"": ""Point""}";__FJ0U18;13460095;005301807;ROBSON ST;49.2810970918035, -123.1188201314814
888;Downtown;"{""coordinates"": [-123.118347310139, 49.28454275660704], ""type"": ""Point""}";__FJ0U1E;12459504;013243926;DUNSMUIR ST;49.28454275660704, -123.118347310139
543;Downtown;"{""coordinates"": [-123.11594735666154, 49.28435229715243], ""type"": ""Point""}";__FJ0U1K;13059241;LMS2007;GRANVILLE ST;49.28435229715243, -123.11594735666154
816;Downtown;"{""coordinates"": [-123.1198936597214, 49.28091966841044], ""type"": ""Point""}";__FJ0U1O;13060216;015463290;GRANVILLE ST;49.28091966841044, -123.1198936597214
820;Downtown;"{""coordinates"": [-123.1199657284236, 49.280871919159345], ""type"": ""Point""}";__FJ0U1Q;13060222;004322266;GRANVILLE ST;49.280871919159345, -123.1199657284236
450;Downtown;"{""coordinates"": [-123.11606495109098, 49.28091960169613], ""type"": ""Point""}";__FJ0U1W;60013804;004993985;W GEORGIA ST;49.28091960169613, -123.11606495109098
450;Downtown;"{""coordinates"": [-123.11614404731833, 49.280870948252655], ""type"": ""Point""}";__FJ0U1Y;60013804;004994001;W GEORGIA ST;49.280870948252655, -123.11614404731833
800;Downtown;"{""coordinates"": [-123.12211152236756, 49.281786963839615], ""type"": ""Point""}";__FJ0U2K;60012406;010442561;HORNBY ST;49.281786963839615, -123.12211152236756
725;Downtown;"{""coordinates"": [-123.11950077840413, 49.282243437048486], ""type"": ""Point""}";__FJ0U2M;60012606;005003580;GRANVILLE ST;49.282243437048486, -123.11950077840413
1212;Downtown;"{""coordinates"": [-123.12619593315038, 49.27675982743527], ""type"": ""Point""}";__FJ0U58;13061220;012678058;GRANVILLE ST;49.27675982743527, -123.12619593315038
630;Downtown;"{""coordinates"": [-123.12578387601253, 49.27664333930292], ""type"": ""Point""}";__FJ0U5E;61213056;015475280;DAVIE ST;49.27664333930292, -123.12578387601253
